This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    37219
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   112800

Total number of variables............................:     6611
                     variables with only lower bounds:     4207
                variables with lower and upper bounds:     2404
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4215
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 161r 7.7460130e+05 1.00e+04 2.57e+02  -3.6 3.45e+01  -0.3 2.34e-01 2.01e-02f  1
 162r 7.7948643e+05 1.00e+04 1.16e+02  -3.6 9.79e+01  -0.8 1.89e-01 1.38e-01f  1
 163r 7.7949071e+05 1.00e+04 4.91e+01  -3.6 3.82e+01  -0.3 2.02e-01 3.09e-04f  1
 164r 8.0502025e+05 1.00e+04 9.84e+02  -3.6 1.08e+02  -0.8 1.37e-01 6.55e-01f  1
 165r 8.0989868e+05 1.00e+04 2.26e+02  -3.6 4.03e+01  -0.4 5.84e-01 3.35e-01f  1
 166r 8.1593795e+05 1.00e+04 4.41e+02  -3.6 1.12e+02  -0.9 4.04e-02 1.50e-01f  1
 167r 8.1724590e+05 1.00e+04 7.41e+02  -3.6 4.40e+01  -0.4 1.00e+00 8.23e-02f  1
 168r 8.1941437e+05 1.00e+04 8.77e+02  -3.6 1.22e+02  -0.9 1.64e-01 4.93e-02f  1
 169r 8.2005983e+05 1.00e+04 8.65e+02  -3.6 4.88e+01  -0.5 1.00e+00 3.66e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170r 8.2608166e+05 1.00e+04 6.28e+02  -3.6 1.35e+02  -1.0 4.42e-02 1.24e-01f  1
 171r 8.3057475e+05 1.00e+04 6.48e+02  -3.6 5.37e+01  -0.5 6.92e-01 2.32e-01f  1
 172r 8.3729745e+05 1.00e+04 3.52e+01  -3.6 2.06e+01  -0.1 1.00e+00 9.06e-01f  1
 173r 8.4438647e+05 1.00e+04 9.04e+01  -3.6 5.84e+01  -0.6 2.28e-01 3.37e-01f  1
 174r 8.4438868e+05 1.00e+04 4.12e+02  -3.6 2.22e+01  -0.2 1.00e+00 2.75e-04f  1
 175r 8.6648804e+05 1.00e+04 1.02e+03  -3.6 6.37e+01  -0.6 1.69e-01 9.63e-01f  1
 176r 8.6868287e+05 1.00e+04 3.21e+02  -3.6 2.34e+01  -0.2 1.00e+00 2.61e-01f  1
 177r 8.8194288e+05 1.00e+04 1.18e+02  -3.6 6.64e+01  -0.7 5.29e-01 5.55e-01f  1
 178r 8.8310050e+05 1.00e+04 4.05e+02  -3.6 2.50e+01  -0.3 1.00e+00 1.29e-01f  1
 179r 8.8641119e+05 1.00e+04 8.28e+02  -3.6 7.09e+01  -0.7 6.52e-01 1.30e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180r 9.0793630e+05 1.00e+04 6.87e+02  -3.6 1.83e+02  -1.2 3.81e-01 3.29e-01f  1
 181r 9.0794030e+05 1.00e+04 6.88e+02  -3.6 3.68e+02  -1.7 2.08e-04 3.08e-05f  1
 182r 9.1119068e+05 1.00e+04 3.70e+02  -3.6 2.90e+01  -0.4 1.00e+00 3.12e-01f  1
 183r 9.1235118e+05 1.00e+04 8.29e+02  -3.6 8.04e+01  -0.8 4.61e-01 4.02e-02f  1
 184r 9.1366820e+05 1.00e+04 5.27e+02  -3.6 3.20e+01  -0.4 1.00e+00 1.15e-01f  1
 185r 9.2204796e+05 1.00e+04 1.25e+02  -3.6 8.86e+01  -0.9 2.93e-02 2.63e-01f  1
 186r 9.2609564e+05 1.00e+04 4.35e+02  -3.6 3.46e+01  -0.5 1.00e+00 3.26e-01f  1
 187r 9.3111049e+05 1.00e+04 3.52e+02  -3.6 9.43e+01  -1.0 1.35e-01 1.48e-01f  1
 188r 9.3564308e+05 1.00e+04 4.64e+02  -3.6 3.75e+01  -0.5 1.00e+00 3.37e-01f  1
 189r 9.3727539e+05 1.00e+04 7.50e+02  -3.6 1.01e+02  -1.0 2.62e-01 4.51e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190r 9.4712548e+05 1.00e+04 2.53e+02  -3.6 4.10e+01  -0.6 1.00e+00 6.69e-01f  1
 191r 9.5072160e+05 1.00e+04 5.85e+02  -3.6 1.07e+02  -1.1 2.98e-01 9.37e-02f  1
 192r 9.5208131e+05 1.00e+04 5.28e+02  -3.6 2.46e+02  -1.5 3.49e-03 1.55e-02f  1
 193r 9.5266923e+05 1.00e+04 1.45e+03  -3.6 1.16e+02  -1.1 5.84e-01 1.41e-02f  1
 194r 9.6278865e+05 1.00e+04 9.25e+02  -3.6 2.63e+02  -1.6 3.15e-05 1.08e-01f  1
 195r 9.6497363e+05 1.00e+04 8.19e+02  -3.6 1.23e+02  -1.2 5.82e-03 4.97e-02f  1
 196r 9.7386851e+05 1.00e+04 4.94e+02  -3.6 5.13e+01  -0.7 1.00e+00 4.83e-01f  1
